name,code,region,month,industrial,total,recidencial
Alaró,7001,07001 Alaró,2006-09-01,0,1182,1182
Alaró,7001,07001 Alaró,2006-08-01,110,974,864
Alaró,7001,07001 Alaró,2006-07-01,0,3814,3814
Alaró,7001,07001 Alaró,2006-06-01,560,2888,2328
Alaró,7001,07001 Alaró,2006-05-01,0,1948,1948
Alaró,7001,07001 Alaró,2006-04-01,0,1062,1062
Alaró,7001,07001 Alaró,2006-03-01,0,502,502
Alaró,7001,07001 Alaró,2006-02-01,0,2260,2260
Alaró,7001,07001 Alaró,2006-01-01,0,854,0
Alaró,7001,07001 Alaró,2005-12-01,0,878,878
Alaró,7001,07001 Alaró,2005-11-01,0,1324,1324
Alaró,7001,07001 Alaró,2005-10-01,0,841,841
Alaró,7001,07001 Alaró,2005-09-01,0,653,653
Alaró,7001,07001 Alaró,2005-08-01,0,506,506
Alaró,7001,07001 Alaró,2005-07-01,364,1195,756
Alaró,7001,07001 Alaró,2005-06-01,0,430,430
Alaró,7001,07001 Alaró,2005-05-01,0,490,490
Alaró,7001,07001 Alaró,2005-04-01,0,2397,2397
Alaró,7001,07001 Alaró,2005-03-01,0,6733,6733
Alaró,7001,07001 Alaró,2005-02-01,1660,3334,1025
Alaró,7001,07001 Alaró,2005-01-01,0,223,223
Alaró,7001,07001 Alaró,2004-12-01,0,3050,3050
Alaró,7001,07001 Alaró,2004-11-01,0,605,605
Alaró,7001,07001 Alaró,2004-10-01,0,390,390
Alaró,7001,07001 Alaró,2004-09-01,28,1255,1227
Alaró,7001,07001 Alaró,2004-08-01,0,232,232
Alaró,7001,07001 Alaró,2004-07-01,0,2944,2944
Alaró,7001,07001 Alaró,2004-06-01,264,427,163
Alaró,7001,07001 Alaró,2004-05-01,609,1196,214
Alaró,7001,07001 Alaró,2004-04-01,490,1233,743
Alaró,7001,07001 Alaró,2004-03-01,0,2662,1309
Alaró,7001,07001 Alaró,2004-02-01,0,968,968
Alaró,7001,07001 Alaró,2004-01-01,0,892,892
Alaró,7001,07001 Alaró,2003-12-01,581,1379,798
Alaró,7001,07001 Alaró,2003-11-01,0,553,553
Alaró,7001,07001 Alaró,2003-10-01,0,349,349
Alaró,7001,07001 Alaró,2003-09-01,0,773,773
Alaró,7001,07001 Alaró,2003-08-01,0,310,310
Alaró,7001,07001 Alaró,2003-07-01,0,918,918
Alaró,7001,07001 Alaró,2003-06-01,0,104,104
Alaró,7001,07001 Alaró,2003-05-01,1134,1651,517
Alaró,7001,07001 Alaró,2003-04-01,278,1381,1103
Alaró,7001,07001 Alaró,2003-03-01,0,2697,2685
Alaró,7001,07001 Alaró,2003-02-01,0,494,494
Alaró,7001,07001 Alaró,2003-01-01,0,233,233
Alaró,7001,07001 Alaró,2002-12-01,0,359,359
Alaró,7001,07001 Alaró,2002-11-01,0,1033,1033
Alaró,7001,07001 Alaró,2002-10-01,0,1217,1217
Alaró,7001,07001 Alaró,2002-09-01,0,763,763
Alaró,7001,07001 Alaró,2002-08-01,0,0,0
Alaró,7001,07001 Alaró,2002-07-01,0,921,921
Alaró,7001,07001 Alaró,2002-06-01,0,907,907
Alaró,7001,07001 Alaró,2002-05-01,0,1047,973
Alaró,7001,07001 Alaró,2002-04-01,0,456,422
Alaró,7001,07001 Alaró,2002-03-01,0,1132,1132
Alaró,7001,07001 Alaró,2002-02-01,0,2330,2330
Alaró,7001,07001 Alaró,2002-01-01,0,1329,1329
Alaró,7001,07001 Alaró,2001-12-01,0,486,486
Alaró,7001,07001 Alaró,2001-11-01,23,2634,1983
Alaró,7001,07001 Alaró,2001-10-01,0,1870,1643
Alaró,7001,07001 Alaró,2001-09-01,0,909,909
Alaró,7001,07001 Alaró,2001-08-01,0,1218,1218
Alaró,7001,07001 Alaró,2001-07-01,51,5592,5541
Alaró,7001,07001 Alaró,2001-06-01,0,2518,2518
Alaró,7001,07001 Alaró,2001-05-01,0,3203,3203
Alaró,7001,07001 Alaró,2001-04-01,0,1163,1163
Alaró,7001,07001 Alaró,2001-03-01,0,1332,699
Alaró,7001,07001 Alaró,2001-02-01,0,1730,1730
Alaró,7001,07001 Alaró,2001-01-01,0,424,404
Alaró,7001,07001 Alaró,2000-12-01,0,3080,3080
Alaró,7001,07001 Alaró,2000-11-01,0,1990,1929
Alaró,7001,07001 Alaró,2000-10-01,0,1182,475
Alaró,7001,07001 Alaró,2000-09-01,40,1342,1302
Alaró,7001,07001 Alaró,2000-08-01,200,1360,1160
Alaró,7001,07001 Alaró,2000-07-01,0,1218,1218
Alaró,7001,07001 Alaró,2000-06-01,0,2436,2436
Alaró,7001,07001 Alaró,2000-05-01,0,2608,2588
Alaró,7001,07001 Alaró,2000-04-01,0,3510,2192
Alaró,7001,07001 Alaró,2000-03-01,0,940,920
Alaró,7001,07001 Alaró,2000-02-01,0,2557,2463
Alaró,7001,07001 Alaró,2000-01-01,0,1543,1543
Alaró,7001,07001 Alaró,1999-12-01,0,410,410
Alaró,7001,07001 Alaró,1999-11-01,0,146,146
Alaró,7001,07001 Alaró,1999-10-01,0,72,72
Alaró,7001,07001 Alaró,1999-09-01,0,816,783
Alaró,7001,07001 Alaró,1999-08-01,0,718,718
Alaró,7001,07001 Alaró,1999-07-01,0,403,383
Alaró,7001,07001 Alaró,1999-06-01,0,863,863
Alaró,7001,07001 Alaró,1999-05-01,0,899,867
Alaró,7001,07001 Alaró,1999-04-01,0,1383,1383
Alaró,7001,07001 Alaró,1999-03-01,2079,2585,506
Alaró,7001,07001 Alaró,1999-02-01,0,649,457
Alaró,7001,07001 Alaró,1999-01-01,0,1970,1970
Alaró,7001,07001 Alaró,1998-12-01,0,1283,1283
Alaró,7001,07001 Alaró,1998-11-01,0,413,387
Alaró,7001,07001 Alaró,1998-10-01,0,2241,2241
Alaró,7001,07001 Alaró,1998-09-01,835,1095,260
Alaró,7001,07001 Alaró,1998-08-01,0,2550,2161
Alaró,7001,07001 Alaró,1998-07-01,0,745,745
Alaró,7001,07001 Alaró,1998-06-01,0,978,978
Alaró,7001,07001 Alaró,1998-05-01,562,741,179
Alaró,7001,07001 Alaró,1998-04-01,0,480,480
Alaró,7001,07001 Alaró,1998-03-01,0,374,374
Alaró,7001,07001 Alaró,1998-02-01,0,323,323
